通貨ペア,売買,区分,数量(Lot),約定レート,建玉損益(円),スワップ,決済損益(円),注文日時,約定日時,注文番号,円転レート,取引手数料,建玉損益
USD/JPY,売,決済,10,154.184,-1800,0,-1800,2025/10/31 22:06:34,2025/10/31 22:06:34,105000099866228,-,0,"\-1,800"
USD/JPY,買,新規,10,154.202,,,,2025/10/31 22:06:13,2025/10/31 22:06:13,105000099866210,,0,
USD/JPY,買,決済,10,154.093,1700,0,1700,2025/10/31 21:47:02,2025/10/31 21:47:02,105000099865317,-,0,"\1,700"
USD/JPY,売,新規,10,154.11,,,,2025/10/31 21:46:26,2025/10/31 21:46:26,105000099865273,,0,
USD/JPY,買,決済,10,154.157,17000,0,17000,2025/10/31 18:56:05,2025/10/31 18:56:05,105000099861027,-,0,"\17,000"
USD/JPY,売,新規,10,154.327,,,,2025/10/31 17:33:39,2025/10/31 17:33:39,105000099859377,,0,
USD/JPY,買,決済,10,154.34,-9700,0,-9700,2025/10/31 17:08:46,2025/10/31 17:14:56,105000099858639,-,0,"\-9,700"
USD/JPY,売,新規,10,154.243,,,,2025/10/31 17:08:46,2025/10/31 17:08:46,105000099858638,,0,
USD/JPY,買,決済,10,154.256,2600,0,2600,2025/10/31 16:21:51,2025/10/31 16:21:51,105000099857462,-,0,"\2,600"
USD/JPY,売,新規,10,154.282,,,,2025/10/31 16:17:48,2025/10/31 16:17:48,105000099857340,,0,
USD/JPY,買,決済,10,154.299,-1700,0,-1700,2025/10/31 16:17:06,2025/10/31 16:17:06,105000099857315,-,0,"\-1,700"
USD/JPY,売,新規,10,154.282,,,,2025/10/31 16:16:36,2025/10/31 16:16:36,105000099857308,,0,
USD/JPY,売,決済,10,154.348,-1800,0,-1800,2025/10/31 16:14:11,2025/10/31 16:14:11,105000099857202,-,0,"\-1,800"
USD/JPY,買,新規,10,154.366,,,,2025/10/31 16:13:36,2025/10/31 16:13:36,105000099857184,,0,
USD/JPY,買,決済,10,154.359,100,0,100,2025/10/31 16:03:41,2025/10/31 16:03:41,105000099856767,-,0,\100
USD/JPY,売,新規,10,154.36,,,,2025/10/31 16:02:20,2025/10/31 16:02:20,105000099856661,,0,
USD/JPY,買,決済,10,154.175,-1100,0,-1100,2025/10/31 15:45:01,2025/10/31 15:45:01,105000099856110,-,0,"\-1,100"
USD/JPY,売,新規,10,154.164,,,,2025/10/31 15:44:45,2025/10/31 15:44:45,105000099856096,,0,
USD/JPY,売,決済,10,154.109,700,0,700,2025/10/31 15:41:45,2025/10/31 15:41:45,105000099856002,-,0,\700
USD/JPY,買,新規,10,154.102,,,,2025/10/31 15:41:21,2025/10/31 15:41:21,105000099855972,,0,
USD/JPY,買,決済,10,153.672,8900,0,8900,2025/10/31 10:20:08,2025/10/31 10:20:08,105000099849772,-,0,"\8,900"
USD/JPY,売,新規,10,153.761,,,,2025/10/31 10:09:13,2025/10/31 10:09:13,105000099849390,,0,
USD/JPY,買,決済,10,153.817,900,0,900,2025/10/31 10:03:30,2025/10/31 10:03:30,105000099849138,-,0,\900
USD/JPY,売,新規,10,153.826,,,,2025/10/31 10:03:25,2025/10/31 10:03:25,105000099849107,,0,
USD/JPY,買,決済,10,153.915,1700,0,1700,2025/10/31 09:47:48,2025/10/31 09:47:48,105000099848421,-,0,"\1,700"
