<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2025.10.27	00:00:00	153.024	153.132	153.024	153.131	36	0	8
2025.10.27	00:01:00	153.130	153.136	153.080	153.080	84	0	13
2025.10.27	00:02:00	153.079	153.080	153.068	153.069	50	0	13
2025.10.27	00:03:00	153.069	153.084	153.061	153.072	41	0	13
2025.10.27	00:04:00	153.062	153.063	153.014	153.027	48	0	13
2025.10.27	00:05:00	153.028	153.037	152.999	152.999	26	0	13
2025.10.27	00:06:00	152.999	153.001	152.942	152.968	45	0	13
2025.10.27	00:07:00	152.968	152.969	152.941	152.942	19	0	13
2025.10.27	00:08:00	152.943	152.944	152.940	152.943	6	0	16
2025.10.27	00:09:00	152.943	152.998	152.943	152.993	53	0	13
2025.10.27	00:10:00	152.993	153.029	152.960	152.998	73	0	13
2025.10.27	00:11:00	152.998	153.011	152.995	153.002	46	0	14
2025.10.27	00:12:00	153.002	153.002	152.967	152.992	70	0	13
2025.10.27	00:13:00	152.992	153.084	152.992	153.056	57	0	13
2025.10.27	00:14:00	153.056	153.074	153.052	153.060	67	0	13
2025.10.27	00:15:00	153.062	153.062	153.034	153.038	28	0	3
2025.10.27	00:16:00	153.034	153.038	153.021	153.025	32	0	3
2025.10.27	00:17:00	153.025	153.060	153.018	153.051	52	0	3
2025.10.27	00:18:00	153.051	153.082	153.041	153.066	52	0	3
2025.10.27	00:19:00	153.066	153.091	153.055	153.091	32	0	4
2025.10.27	00:20:00	153.089	153.099	153.079	153.081	34	0	3
2025.10.27	00:21:00	153.080	153.104	153.078	153.078	31	0	3
2025.10.27	00:22:00	153.079	153.079	153.069	153.071	24	0	3
2025.10.27	00:23:00	153.071	153.107	153.070	153.101	28	0	3
2025.10.27	00:24:00	153.102	153.111	153.060	153.066	32	0	3
2025.10.27	00:25:00	153.065	153.083	153.061	153.066	32	0	3
2025.10.27	00:26:00	153.072	153.112	153.070	153.098	48	0	3
2025.10.27	00:27:00	153.095	153.099	153.080	153.099	28	0	3
2025.10.27	00:28:00	153.099	153.108	153.075	153.082	37	0	3
2025.10.27	00:29:00	153.082	153.095	153.068	153.075	30	0	4
2025.10.27	00:30:00	153.078	153.121	153.072	153.089	34	0	3
2025.10.27	00:31:00	153.088	153.108	153.084	153.101	29	0	3
2025.10.27	00:32:00	153.096	153.108	153.088	153.106	36	0	3
2025.10.27	00:33:00	153.106	153.120	153.103	153.107	27	0	3
2025.10.27	00:34:00	153.107	153.120	153.106	153.111	23	0	4
2025.10.27	00:35:00	153.120	153.120	153.093	153.099	25	0	4
2025.10.27	00:36:00	153.096	153.106	153.088	153.106	24	0	4
2025.10.27	00:37:00	153.106	153.106	153.096	153.103	21	0	4
2025.10.27	00:38:00	153.103	153.116	153.102	153.108	23	0	4
2025.10.27	00:39:00	153.108	153.116	153.102	153.106	24	0	4
